sentence,category,chich_gloria,chich_shadreck
"The graphic description of the victim's murder was too much for his mother, who ran out of the court in tears.",Online,"Kafotokozedwe kogwiritsa ntchito zithunzi kwa ophedwa zinali zovuta kwa mayi ake, omwe anatuluka mu bwalo la milandu ndi misonzi.","Kafotokozedwe kogwiritsa ntchito zithunzi kwa ophedwa zinali zovuta kwa mayi ake, omwe anatuluka mu bwalo la milandu ndi misonzi."
"Even though Tom told Mary about his problem, he didn't want to listen to any advice she had on how to solve it.",Online,"Angakhale Tom anamuuza Mary zokhudzana ndi ndi vuto, sanafune kumumvera ku malangizo ena alionse anali nawo kuti athane ndi vutolo.","Angakhale Tom anamuuza Mary zokhudzana ndi ndi vuto, sanafune kumumvera ku malangizo ena alionse anali nawo kuti athane ndi vutolo."
"I realize I may not be the most desirable man in the world, but I still hope you'll consider going out with me.",Online,"Ndikuzindikira kuti mwina sindingakhale muthu okhumbilika pa dziko lapansi, komabe ndikuyembekeza kuti tidzayenda limodzi.","Ndikuzindikira kuti mwina sindingakhale muthu okhumbilika pa dziko lapansi, komabe ndikuyembekeza kuti tidzayenda limodzi."
"In preparation for painting a portrait, my friend takes many photographs in order to study the subject closely.",Online,"Pokozekera kukajambula chinthunzi cha utoto, mzanga anatenga zithunzi zambiri ndi cholinga choti akazionenso bwino lomwe.","Pokozekera kukajambula chinthunzi cha utoto, mzanga anatenga zithunzi zambiri ndi cholinga choti akazionenso bwino lomwe."
Life would be infinitely happier if we could only be born at the age of eighty and gradually approach eighteen.,Online,Moyo unakakhala wosangalatsako tinakati tizibadwa tili ndi zaka 8 kenako kumakula pang'onopang'ono kufika zaka 18.,Moyo unakakhala wosangalatsako tinakati tizibadwa tili ndi zaka 8 kenako kumakula pang'onopang'ono kufika zaka 18.
"People often lie about what they did on the weekend, so their friends won't realize how boring they really are.",Online,"Athu nthawi zambiri amanama zokhudza zomwe anachita kumapeto kwa sabata, ndi cholinga choti azawo asazindikire mmene iwo alili obowa.","Athu nthawi zambiri amanama zokhudza zomwe anachita kumapeto kwa sabata, ndi cholinga choti azawo asazindikire mmene iwo alili obowa."
Something you should know about me is that my greatest fear in life is that people will find out that I'm poor.,Online,China chomwe udziwe chokhudza ine ndi mantha akulu omwe ndili nawo mu moyo wanga ndi athu kuzindikira mmene ndilili osauka.,China chomwe udziwe chokhudza ine ndi mantha akulu omwe ndili nawo mu moyo wanga ndi athu kuzindikira mmene ndilili osauka.
Tom pressed his ear against the wall to see if he could hear what his parents were discussing in the next room.,Online,Tom anagunditsa nkhutu lake ku nkhoma kuti amve ngati kotheka zomwe makolo ake amakambilana mu chipinda china.,Tom anagunditsa nkhutu lake ku nkhoma kuti amve ngati kotheka zomwe makolo ake amakambilana mu chipinda china.
"Tom was obsessed by the belief that, one by one, everyone around him was being abducted and replaced by aliens.",Online,"Tom anadzadzidwa ndi zikhulupiliro zoti, modzi, modzi munthu womuzungulira amabedwa ndi kuikapo mlowammalo wa zukwa.","Tom anadzadzidwa ndi zikhulupiliro zoti, modzi, modzi munthu womuzungulira amabedwa ndi kuikapo mlowammalo wa zukwa."
"I know that it is highly unlikely that you'd ever want to go out with me, but I still need to ask at least once.",Online,"Ndikudziwa kuti ndi mochuluka zedi kusatheka kuti uzayenda nane, komabe ndikufuna ndikufunse kamodzi kokha.","Ndikudziwa kuti ndi mochuluka zedi kusatheka kuti uzayenda nane, komabe ndikufuna ndikufunse kamodzi kokha."
"Acting on advice from his astronomers, Alexander the Great decided not to attack Egypt and went to India instead.",Online,"Pochita zomwe omphunzira za nyenyezi anamuuza, Alexander wamkuluyo anaganiza osachita topola ndi dziko la Aigupto mmalo mwake anachitila topola dziko la India","Pochita zomwe omphunzira za nyenyezi anamuuza, Alexander wamkuluyo anaganiza osachita topola ndi dziko la Aigupto mmalo mwake anachitila topola dziko la India"
"I came here to see if there was something I could do to help, but there doesn't seem to be anything for me to do.",Online,"Ndinabwera kuno kuti ndione ngati pali china chilichonse chomwe ndingathandize, koma palibe chomwe ndingachite kuti ndithandize.","Ndinabwera kuno kuti ndione ngati pali china chilichonse chomwe ndingathandize, koma palibe chomwe ndingachite kuti ndithandize."
"I know you're upset about your car being totaled, but you weren't injured and you should be thankful to be alive.",Online,"Ndikudziwa kuti wasokonekera mutu ndi galimoto yako mmene yawonongekera, koma sunavulale ndipo uziyamika kuti uli moyo.","Ndikudziwa kuti wasokonekera mutu ndi galimoto yako mmene yawonongekera, koma sunavulale ndipo uziyamika kuti uli moyo."
The World Health Organization says alcohol abuse is the third leading cause of death and disability in the world.,Online,Bungwe lowona zaumoyo padziko lonse lapansi lanena kuti kumwa mowa mwa uchidakwa ndi chithu chachitatu chomwe chikupha athu ndi ulumali.,Bungwe lowona zaumoyo padziko lonse lapansi lanena kuti kumwa mowa mwa uchidakwa ndi chithu chachitatu chomwe chikupha athu ndi ulumali.
"Babies can become dehydrated from a high fever, so I was told that it would be better to send him to the hospital.",Online,"Tiana tikhoza kukhala ndi madzi ochepa nthupi chifukwa cha litsipa, ndiye ndinauzidwa kuti ndi kwabwino kutengera mwana ku chipatala.","Tiana tikhoza kukhala ndi madzi ochepa nthupi chifukwa cha litsipa, ndiye ndinauzidwa kuti ndi kwabwino kutengera mwana ku chipatala."
"Did you know that in Japan, if you have a tattoo, you won't be allowed to bathe in many of the hot spring resorts?",Online,"Mumadziwa kodi kuti ku Japan, ngati uli ndi zojambula pathupi lanu, simuloledwa kusamba ma hotel.","Mumadziwa kodi kuti ku Japan, ngati uli ndi zojambula pathupi lanu, simuloledwa kusamba ma hotel."
"Everybody has a right to his own opinion. However, sometimes it's better not to tell anybody what that opinion is.",Online,"Aliyense ali ndi ufulu ku maganizo ake. ngakhale zili chocho, ndi kwabwino kusanena maganizo ako.","Aliyense ali ndi ufulu ku maganizo ake. ngakhale zili chocho, ndi kwabwino kusanena maganizo ako."
The Himalayas were formed by the collision of the tectonic plates of India and Eurasia about 50 million years ago.,Online,Himalayas inapangidwa pomwe mbale zapansi za ku India ndi Eurasia zitakhulana pansi.,Himalayas inapangidwa pomwe mbale zapansi za ku India ndi Eurasia zitakhulana pansi.
The police can't find a single person who remembers seeing you where you said you were on the night of the murder.,Online,Apolice sangapeze wina aliyense amene akukumbukira kukuonani inu komwe munati munali mu usiku wa kupha.,Apolice sangapeze wina aliyense amene akukumbukira kukuonani inu komwe munati munali mu usiku wa kupha.
"Tom likes Mary, but Mary likes John. To make matters even more interesting, John likes Alice, but Alice likes Tom.",Online,"Tom amakonda Mary, koma Mary amakonda John. Kupangitsa kuti zithu zimveke modabwitsa, John amakonda Alice koma Alice amakonda Tom.","Tom amakonda Mary, koma Mary amakonda John. Kupangitsa kuti zithu zimveke modabwitsa, John amakonda Alice koma Alice amakonda Tom."
Tom was sad when he discovered that Mary was a gold digger and Mary was sad when she discovered that Tom was poor.,Online,Tom anadandaula atazindikira kuti Mary ndi opempha zedi ndipo Mary anadandaula atadziwa kuti Tom ndi osauka.,Tom anadandaula atazindikira kuti Mary ndi opempha zedi ndipo Mary anadandaula atadziwa kuti Tom ndi osauka.
What kind of a parent would leave their child unattended in the car outside the pub while they're inside drinking?,Online,Ndi kholo la mtundu wanji lomwe lingasiye mwana wawo mu galimoto osamusamala panja ma malo omwera mowa iwo akumwa mowa mu bala.,Ndi kholo la mtundu wanji lomwe lingasiye mwana wawo mu galimoto osamusamala panja ma malo omwera mowa iwo akumwa mowa mu bala.
Witnesses told police that the train was travelling way over the speed limit when it derailed going around a bend.,Online,Mboni zinauza a police kuti sitima imathamanga kwambiri kuposera mlingo wake pomwe imafika popendeka.,Mboni zinauza a police kuti sitima imathamanga kwambiri kuposera mlingo wake pomwe imafika popendeka.
The Belo Monte dam in Brazil is a controversial project because of its impact on the environment and native people.,Online,Project ya Dam Monte ku Brazil ndizovuta kuvetsa chifukwa za zotsatira zake pa zachilengedwe komanso anthu ozungulira malowa.,Project ya Dam Monte ku Brazil ndizovuta kuvetsa chifukwa za zotsatira zake pa zachilengedwe komanso anthu ozungulira malowa.
"Tom's constant arguing irritates some of his classmates. However, most of the class has just learned to ignore him.",Online,"Kutsutsatsuka kwa Tom zomwe zimapangitsa ena aziboweka naye kalasi. komabe, ambiri a mukalasi yake anamuzolowera.","Kutsutsatsuka kwa Tom zomwe zimapangitsa ena aziboweka naye kalasi. komabe, ambiri a mukalasi yake anamuzolowera."
"How's the trouble and strife? is an example of a sentence using Cockney rhyming slang. It means ""How's your wife?""",Online,"Mavuto ndi kukangana zili pati? Ndichitsanzo cha chiganizo chogwiritsidwa ntchito ndi Cockney rhyming slang. kutathauza ""mkazi wako ali bwanji""","Mavuto ndi kukangana zili pati? Ndichitsanzo cha chiganizo chogwiritsidwa ntchito ndi Cockney rhyming slang. kutathauza ""mkazi wako ali bwanji"""
Getting your message across is much more important than trying to say it exactly like a native speaker would say it.,Online,Kuyankhula moveka bwino kwa womvetsera ndi chofunika zedi kusiyana ndi kuyesetsa kuyakhula ngati unabadwa nacho chiyankhulocho.,Kuyankhula moveka bwino kwa womvetsera ndi chofunika zedi kusiyana ndi kuyesetsa kuyakhula ngati unabadwa nacho chiyankhulocho.
"Over 100 tons of dust and sand-sized particles bombard the earth every day from space, most of which goes unnoticed.",Online,"Fumbi loposera mazana amatani ndi tithu tokula ngati mchenga zimagwa padziko tsiku lina lililonse kuchokera mlengalenga. Zambiri za izo, sizidziwidwa.","Fumbi loposera mazana amatani ndi tithu tokula ngati mchenga zimagwa padziko tsiku lina lililonse kuchokera mlengalenga. Zambiri za izo, sizidziwidwa."
The typical elements of a foreign culture are changed into the typical elements of the local culture of translators.,Online,Zokhudza eni ake a chikhalidwe chogobwera zasithidwa kukhala chikhalidwe cha wathu ogochilandira.,Zokhudza eni ake a chikhalidwe chogobwera zasithidwa kukhala chikhalidwe cha wathu ogochilandira.
"Tom tried to sell his old VCR instead of throwing it away, but no one would buy it, so he ended up throwing it away.",Online,"Tom anayesera kugulitsa VCR yake yakale malo mogoitaya, koma palibe amene agaigule. chocho anagothela kuyitayabe.","Tom anayesera kugulitsa VCR yake yakale malo mogoitaya, koma palibe amene agaigule. chocho anagothela kuyitayabe."
A man touched down on the moon. A wall came down in Berlin. A world was connected by our own science and imagination.,Online,Munthu anafika pa mwenzi. Khoma linatsika ku Berlin. dziko linalumikizidwa ndi sayasi yathu komanso maganizo athu.,Munthu anafika pa mwenzi. Khoma linatsika ku Berlin. dziko linalumikizidwa ndi sayasi yathu komanso maganizo athu.
"Being happy doesn't mean that everything is perfect, but rather that you've decided to look beyond the imperfections.",Online,"Kukhala osangalala sikukutathauza kuti zonse zili bwino ndi iwe, koma kuti wasankha kuyang'ana kupyola zotsamwitsa.","Kukhala osangalala sikukutathauza kuti zonse zili bwino ndi iwe, koma kuti wasankha kuyang'ana kupyola zotsamwitsa."
Dr. Zamenhof believed that a language belongs to the people who speak it which is why he never copyrighted Esperanto.,Online,Dr. Zamenhof amakhulupilira kuti chiyankhulo ndi cha aeni akewo omwe amachidziwa ichi ndi chifukwa chake sanakopere chiyankhulo cha Esperanto.,Dr. Zamenhof amakhulupilira kuti chiyankhulo ndi cha aeni akewo omwe amachidziwa ichi ndi chifukwa chake sanakopere chiyankhulo cha Esperanto.
Every student who has graduated from our university has studied English with a native speaker for at least two years.,Online,"Wophunzira wina aliyense pa university yathu amene anaphunzira za chiyankhulo cha chingerezi, anaphunzitsidwa ndi athu omwe akhala zaka ziwiri akuyakhula bwino lomwe.","Wophunzira wina aliyense pa university yathu amene anaphunzira za chiyankhulo cha chingerezi, anaphunzitsidwa ndi athu omwe akhala zaka ziwiri akuyakhula bwino lomwe."
"If you don't want to put on sunscreen, that's your problem. Just don't come complaining to me when you get a sunburn.",Online,"Ngati sukufuna kuvala ma sunscreen, ilo ndi vuto lanu. Osazabwera kuzadandaula chifukwa chomwe muli ndi zilonda zodza kamba ka dzuwa.","Ngati sukufuna kuvala ma sunscreen, ilo ndi vuto lanu. Osazabwera kuzadandaula chifukwa chomwe muli ndi zilonda zodza kamba ka dzuwa."
It took Tom several hours to assemble a bunk bed that the instructions said would take less than an hour to assemble.,Online,Zinamutengera Tom maola angapo kuti akwanitse kukonzanso kama zomwe olemba analemba kuti zimatenga mphindi zosachepera ola limodzi.,Zinamutengera Tom maola angapo kuti akwanitse kukonzanso kama zomwe olemba analemba kuti zimatenga mphindi zosachepera ola limodzi.
"Nobody has asked you to agree, but can't you at least accept that there are people who hold different views from you?",Online,"Palibe wakufunsani kuti muvomereze, komabe simugavomereze kuti pali athu omwe ali ndi maganizo osiyana ndinu?","Palibe wakufunsani kuti muvomereze, komabe simugavomereze kuti pali athu omwe ali ndi maganizo osiyana ndinu?"
"Tom didn't know the meaning of ""anglophobia,"" so he did a quick web search to see if he could find out what it meant.",Online,"Tom samadziwa tathauzo la ""anglophobia"". kotero anafufuza mwasanga patsamba la internet kuti aone ngati angapeze tathauzo lake.","Tom samadziwa tathauzo la ""anglophobia"". kotero anafufuza mwasanga patsamba la internet kuti aone ngati angapeze tathauzo lake."
"Even though computer programmers may use semicolons every day, nowadays most people only use semicolons for emoticons.",Online,"Angakhale okonza zama pologalamu apa kompyuta amagwiritsa ntchito semikoloni tsiku lina lililonse, makono ano, athu amagwiritsa ntchito semicolony ngati fuuliro.","Angakhale okonza zama pologalamu apa kompyuta amagwiritsa ntchito semikoloni tsiku lina lililonse, makono ano, athu amagwiritsa ntchito semicolony ngati fuuliro."
"I had never eaten any kind of Thai food, so I was pretty excited about going to a Thai restaurant with my grandmother.",Online,"Sindinadyepo chakudya chilichonse cha Thai, kotero ndinali osangalala kupita ku restaurant yomwe amagulitsa chakudya cha Thai ndi agogo anga akazi","Sindinadyepo chakudya chilichonse cha Thai, kotero ndinali osangalala kupita ku restaurant yomwe amagulitsa chakudya cha Thai ndi agogo anga akazi"
"The room didn't look very good after Tom painted it, because he didn't even bother to wash the walls or ceiling first.",Online,"Chipindacho simunaoneke bwino komwe atamaliza Tom kuika utoto, chifukwa iye sanavutike ndi kusasa zipupa komanso siling'i.","Chipindacho simunaoneke bwino komwe atamaliza Tom kuika utoto, chifukwa iye sanavutike ndi kusasa zipupa komanso siling'i."
"When does your sister come back from work? ""I don't know, but I think she'll arrive at home a few minutes before me.""",Online,"Chemwali wako amabwera nthawi yanji kuchokera kuntchito? ""Sindikudziwa, komabe akhala akufika mphindi zochepa kuposera ine""","Chemwali wako amabwera nthawi yanji kuchokera kuntchito? ""Sindikudziwa, komabe akhala akufika mphindi zochepa kuposera ine"""
"Four of my favorite Christmas carols are ""Silent Night,"" ""Joy to the World,"" ""The First Noel"" and ""Away in the Manger.""",Online,"Nyimbo zinayi za christmas zomwe ndimazikonda ndi ""Usiku wabata"", ""Chimwemwe kudziko"", ""Noel woyamba"", ""mu chodyera ng'ombe"".","Nyimbo zinayi za christmas zomwe ndimazikonda ndi ""Usiku wabata"", ""Chimwemwe kudziko"", ""Noel woyamba"", ""mu chodyera ng'ombe""."
"My friend recommended that I shouldn't buy an iPad yet, but to wait until I see what Apple's competitors come out with.",Online,"Mzanga anaikira mang'ombe kuti ndisagule iPad tsopano, koma kuti ndidikire mpakan nditaona zomwe a Apple atatulutse.","Mzanga anaikira mang'ombe kuti ndisagule iPad tsopano, koma kuti ndidikire mpakan nditaona zomwe a Apple atatulutse."
"Roger Miller entered the United States Army at the age of seventeen. He was sent to an army base near Atlanta, Georgia.",Online,Roger Miller analowa gulu la nkhondo la United States ali ndi zaka 17 zakubadwa. anatumizidwa kumalo okhala asilikali kufupi ndiku Antlanta Geogia.,Roger Miller analowa gulu la nkhondo la United States ali ndi zaka 17 zakubadwa. anatumizidwa kumalo okhala asilikali kufupi ndiku Antlanta Geogia.
A trade delegation has gone to Japan ahead of the Prime Minister to crunch the numbers with their Japanese counterparts.,Online,Gulu la zamalonda lapita ku Japan pomwe nduna yaikulu ikukatsutsa ma nambala azamalonda azawo.,Gulu la zamalonda lapita ku Japan pomwe nduna yaikulu ikukatsutsa ma nambala azamalonda azawo.
"Anyone whose comfort level depends on what someone else is wearing really needs to take a long, hard look at themselves.",Online,Aliyense yemwe chisangalalo chake chimatengera kuona zomwe wina wavala akusowekera kwambiri kuziganizira yekha.,Aliyense yemwe chisangalalo chake chimatengera kuona zomwe wina wavala akusowekera kwambiri kuziganizira yekha.
I think it's highly unlikely that Tom was not aware that he wouldn't be allowed to enter the museum without his parents.,Online,Ndikuganiza kuti sizoyenera kuti Tom samadziwa kuti sagaloledwe kulowa mu malo osungira za mbiri yamake dzana opanda makolo ake.,Ndikuganiza kuti sizoyenera kuti Tom samadziwa kuti sagaloledwe kulowa mu malo osungira za mbiri yamake dzana opanda makolo ake.
I was lucky that the policeman didn't give me a ticket for making a U-turn at an intersection that had a no U-turn sign.,Online,Ndinali ndi mwayi kuti apolice sanandipatse chiphaso choti ndiganize zobwerera pa chithu cchomwe sizikanatheka kubwerera mbuyo.,Ndinali ndi mwayi kuti apolice sanandipatse chiphaso choti ndiganize zobwerera pa chithu cchomwe sizikanatheka kubwerera mbuyo.
Tom isn't your average guy. He doesn't like things most guys like and he doesn't like to do things most men enjoy doing.,Online,Tom simzako pa chilichose. Sakonda zomwe achinyamata ambiri amakonda komanso sakonda zomwe amuna ambiri amakonda kuchita ndikusangala nazo.,Tom simzako pa chilichose. Sakonda zomwe achinyamata ambiri amakonda komanso sakonda zomwe amuna ambiri amakonda kuchita ndikusangala nazo.
Cesar Chavez asked that strikers remain non-violent even though farm owners and their supporters sometimes used violence.,Online,Cesar Chavez anafunsa ma strikers kuti akhale bata angakhale eni ake a munda ndi owatsatira amagwiritsa ntchito zipolowe.,Cesar Chavez anafunsa ma strikers kuti akhale bata angakhale eni ake a munda ndi owatsatira amagwiritsa ntchito zipolowe.
"Even now, I occasionally think I'd like to see you. Not the you that you are today, but the you I remember from the past.",Online,"Angakhale tsopano, ndimafuna nditakuona iweyo nthawi zina. Osati iweyo amene uli tsopano, koma iweyo wa nthawi imene inja.","Angakhale tsopano, ndimafuna nditakuona iweyo nthawi zina. Osati iweyo amene uli tsopano, koma iweyo wa nthawi imene inja."
We should spend our time creating content for our website rather than wasting time worrying about minor cosmetic details.,Online,Tipereke nthawi yathu kupeza zoti tiike pa website yathu kusiyana ndikutaya nthawi kudandaula ndi zithu zazing'ono.,Tipereke nthawi yathu kupeza zoti tiike pa website yathu kusiyana ndikutaya nthawi kudandaula ndi zithu zazing'ono.
A lot of people who have up until now been spending money having a good time now need to be more careful with their money.,Online,Athu ambiri omwe kufika tsopano akhala akuwononga ndalama kumakhala ndi nthawi yabwino tsopano akuyenera kukhala osamalitsa ndi ndalama zawo.,Athu ambiri omwe kufika tsopano akhala akuwononga ndalama kumakhala ndi nthawi yabwino tsopano akuyenera kukhala osamalitsa ndi ndalama zawo.
"It's very easy to sound natural in your own native language, and very easy to sound unnatural in your non-native language.",Online,Ndikosamvuta kumveka weniweni mu chiyakhulo chako chobandwa nacho kusiyana ndi kumveka weniweni mu chiyakhulo choti wagochipeza.,Ndikosamvuta kumveka weniweni mu chiyakhulo chako chobandwa nacho kusiyana ndi kumveka weniweni mu chiyakhulo choti wagochipeza.
The difference between the right word and almost the right word is the difference between lightning and the lightning bug.,Online,Kusiyana pakati pa mau olondola ndi mau okhala ngati olondola ndi kusiyana pakati pa mphenzi ndi,Kusiyana pakati pa mau olondola ndi mau okhala ngati olondola ndi kusiyana pakati pa mphenzi ndi
"Your English is grammatically correct, but sometimes what you say just doesn't sound like what a native speaker would say.",Online,"Chigerezi chanu ndi cholondola ndithu, koma nthawi zina zina mwa zomwe mumanena sizimveka ngati muthu wobadwira mu chiyankhulochi.","Chigerezi chanu ndi cholondola ndithu, koma nthawi zina zina mwa zomwe mumanena sizimveka ngati muthu wobadwira mu chiyankhulochi."
I have Japanese and Chinese friends who speak to each other in English since that is the only language they have in common.,Online,Ndili ndi azinzanga a chijapani ndi achitchaina omwe amayankhulana mu chiyankhulo cha chingerezi poti ndi chiyankhulo chokhacho chomwe angayankhulilane.,Ndili ndi azinzanga a chijapani ndi achitchaina omwe amayankhulana mu chiyankhulo cha chingerezi poti ndi chiyankhulo chokhacho chomwe angayankhulilane.
"All the doctors say that I shouldn't drink coffee, but, despite that, I do have a bit now and then when I'm in good company.",Online,"Zomwe adokotala ananena ndi zakuti ndisamamwe coffee, koma, angakhale ananena chocho, ndimamwabe ndikakhala ndi gulu lomwe likumwa.","Zomwe adokotala ananena ndi zakuti ndisamamwe coffee, koma, angakhale ananena chocho, ndimamwabe ndikakhala ndi gulu lomwe likumwa."
Make a good translation of the sentence that you are translating. Don't let translations into other languages influence you.,Online,Masulirani bwino chiganizo chomwe mukumasulira. Musalore kumasulira kodza kamba ka ziyankhulo zina kusokoneze kumasulilaku.,Masulirani bwino chiganizo chomwe mukumasulira. Musalore kumasulira kodza kamba ka ziyankhulo zina kusokoneze kumasulilaku.
One thing I don't like about the iPad is that you can't easily install apps that aren't available through Apple's App Store.,Online,Chithu chimodzi chomwe sindikonda chokhudzana ndi iPad ndi chakuti zimavuta kuika app ina yomwe mu app store mulibe.,Chithu chimodzi chomwe sindikonda chokhudzana ndi iPad ndi chakuti zimavuta kuika app ina yomwe mu app store mulibe.
"Jingle Bells, a popular song around Christmas time, is not really a Christmas song. The lyrics say nothing about Christmas.",Online,"Jingle Bells, nyimbo yontchuka mu nyengo ya christmas, si nyimbo yokhudza christmas. zoyimba zake sizikhudza komwe christmas.","Jingle Bells, nyimbo yontchuka mu nyengo ya christmas, si nyimbo yokhudza christmas. zoyimba zake sizikhudza komwe christmas."
"I used to watch this anime a lot when I was a kid, but I can't quite remember what happened to the hero in the final episode.",Online,"Ndikakonda kuonera kanema wa anime kwambiri pamene ndinali mwana, koma sindingakumbukire chimene chinachitikira katswiriyo mu kanema womaliza.","Ndikakonda kuonera kanema wa anime kwambiri pamene ndinali mwana, koma sindingakumbukire chimene chinachitikira katswiriyo mu kanema womaliza."
"If your company primarily does business with America, then you should be studying English with a native speaker from America.",Online,"Ngati kapmani yanu imapanga malonda ndi America, ndiye ndikofunika kuti muzimphunzira chiyankhulo cha chingerezi ndi anthu omwe anabadwa nacho chilankhulochi ku America","Ngati kapmani yanu imapanga malonda ndi America, ndiye ndikofunika kuti muzimphunzira chiyankhulo cha chingerezi ndi anthu omwe anabadwa nacho chilankhulochi ku America"
The English language is undoubtedly the easiest and at the same time the most efficient means of international communication.,Online,Chiyankhulo chachingerezi ndichosakayikitsa kuti ndi chophweka komanso pa nthawi yomweyo choyenera polumikizana pa dziko lonse lapansi.,Chiyankhulo chachingerezi ndichosakayikitsa kuti ndi chophweka komanso pa nthawi yomweyo choyenera polumikizana pa dziko lonse lapansi.
"Instead of giving each other Christmas presents this year, we donated the amount we would have spent on presents to a charity.",Online,"M'malo mopatsana mphantso za christimas za chaka chino, tinapereka katundu/ndalama zomwe tinakapangira zimenezi ngati zachikondi kwa ena.","M'malo mopatsana mphantso za christimas za chaka chino, tinapereka katundu/ndalama zomwe tinakapangira zimenezi ngati zachikondi kwa ena."
"Singer and actress Selena Gomez started her career at age seven on the children's public television show ""Barney and Friends.""",Online,"Woyimba komanso wazisunzo Selena Gomez anayamba zimenezi ali ndi zaka zisanu ndi ziwiri pa program ya children's public television show ""Barney and Friends.""","Woyimba komanso wazisunzo Selena Gomez anayamba zimenezi ali ndi zaka zisanu ndi ziwiri pa program ya children's public television show ""Barney and Friends."""
"A good newspaper reporter takes advantage of what he learns from any source, even the ""little bird told him so"" type of source.",Online,"Wolemba nkhani ma newspaper wabwino amatengera mwayi wophunzira kuchokera pa zilizonse zomuzungulira, angakhale ""mbalame yaing'ono inamuuza chocho"" pochokera nkhani.","Wolemba nkhani ma newspaper wabwino amatengera mwayi wophunzira kuchokera pa zilizonse zomuzungulira, angakhale ""mbalame yaing'ono inamuuza chocho"" pochokera nkhani."
Food prices are at their highest level since the United Nations Food and Agriculture Organization began keeping records in 1990.,Online,Mitengo ya zakudya yakwera zedi kuchokera pomwe United Nations Food and Agriculture anayamba kusunga kalembera mu 1990,Mitengo ya zakudya yakwera zedi kuchokera pomwe United Nations Food and Agriculture anayamba kusunga kalembera mu 1990
I've heard that it's impossible to sound like a native speaker unless one starts speaking the language before the age of twelve.,Online,Ndinamva kuti ndizosatheka kuyankhula ngati mwini chiyankhulo pokhapokha atayamba asanakwanitse zaka nkhumi ndi ziwiri.,Ndinamva kuti ndizosatheka kuyankhula ngati mwini chiyankhulo pokhapokha atayamba asanakwanitse zaka nkhumi ndi ziwiri.
"No matter what your profession, or how happy you may be in it, there are moments when you wish you had chosen some other career.",Online,"Kaya ndiwe katswiri wanji pa ntchito yako, kapena mmene mulili osangala mu ntchito yanuyo. pali nthawi zina pomwe umaona ngati unasakha ntchito yolakwika.","Kaya ndiwe katswiri wanji pa ntchito yako, kapena mmene mulili osangala mu ntchito yanuyo. pali nthawi zina pomwe umaona ngati unasakha ntchito yolakwika."
"When Tom was a kid, he used to collect his father's cigarette butts until he had enough tobacco to roll a cigarette for himself.",Online,"Pamene Tom anali mwana, akatolera zotsatira za fodya yemwe bambo ake akasuta mpakana zikakwana kupanga fodya wake-wake wosuta","Pamene Tom anali mwana, akatolera zotsatira za fodya yemwe bambo ake akasuta mpakana zikakwana kupanga fodya wake-wake wosuta"
Satellite imagery is being used in an effort to narrow down the area in the Indian Ocean where floating debris has been observed.,Online,Zowunikira zikugwiritsidwa ntchito pa nyanja ya India ndi cholinga chofuna kuwonetsetsa malo ena ake pa nyanjayi pomwe zawoneka kuti pali zithu zina zomwe zikuyandama pa malopo.,Zowunikira zikugwiritsidwa ntchito pa nyanja ya India ndi cholinga chofuna kuwonetsetsa malo ena ake pa nyanjayi pomwe zawoneka kuti pali zithu zina zomwe zikuyandama pa malopo.
"Honey, I know the budget is tight, but do you think we could splurge a bit and have a night out at a fancy restaurant this weekend?",Online,"Wokondedwa, ndikudziwa kuti dongosolo la zachuma lovutirapo, komabe mukuganiza kuti tikhoza kukhwefula pang'ono ndikupita ku restaurate yapamwamba kumapeto kwa sabatali usiku?","Wokondedwa, ndikudziwa kuti dongosolo la zachuma lovutirapo, komabe mukuganiza kuti tikhoza kukhwefula pang'ono ndikupita ku restaurate yapamwamba kumapeto kwa sabatali usiku?"
"Tom went to a fortune teller at the town fair and was told that someone would come into his life whose first name started with ""M"".",Online,"Tom anapita kwa wabwebwe/olosera ku town fair ndipo anauzidwa kuti wina wake abwera moyo mwake wa dzina loyambira chilembo ""M"".","Tom anapita kwa wabwebwe/olosera ku town fair ndipo anauzidwa kuti wina wake abwera moyo mwake wa dzina loyambira chilembo ""M""."
"A committee is a group of people who individually can do nothing, but who, as a group, can meet and decide that nothing can be done.",Online,"Komiti ndi gulu la wathu lomwe modzimodzi mwa iwo sangapange kathu, koma ngati gulu akhoza kukumana ndi kupanga kathu.","Komiti ndi gulu la wathu lomwe modzimodzi mwa iwo sangapange kathu, koma ngati gulu akhoza kukumana ndi kupanga kathu."
"Oh, sure, I studied English in my school days. But it wasn't until two or three years ago that I really started taking it seriously.",Online,"Oh theradi, ndinaphunzira chizungu mu masiku anga a sukulu. Koma sipanatengere zaka ziwiri kapena zitatu zapitazo pomwe ndinayamba kuzitengera zenizeni.","Oh theradi, ndinaphunzira chizungu mu masiku anga a sukulu. Koma sipanatengere zaka ziwiri kapena zitatu zapitazo pomwe ndinayamba kuzitengera zenizeni."
